1486468375.52,2.1,0.5,61649.
1486468436.29,2.1,0.5,61649.
1486468497.05,2.1,0.5,61650.
1486468557.72,2.1,0.5,61600.
1486468618.48,2.1,0.5,61650.
1486468679.15,2.1,0.5,61600.
1486468739.87,2.1,0.5,61599.
1486468800.66,2.1,0.5,61649.
1486468861.36,2.0,0.5,61649.
1486468922.08,2.1,0.5,61649.
1486468982.75,2.1,0.5,61650.
1486469043.48,2.1,0.5,61600.
1486469104.23,2.0,0.5,61650.
1486469164.91,2.1,0.5,61599.
1486469225.67,2.1,0.5,61649.
1486469286.35,2.1,0.5,61649.
1486469347.07,2.1,0.5,61649.
1486469407.81,2.1,0.5,61600.
1486469468.50,2.1,0.5,61649.
1486469529.23,2.1,0.5,61599.
1486469589.98,2.1,0.5,61599.
1486469650.65,2.0,0.5,61599.
1486469711.37,2.1,0.5,61599.
1486469772.09,2.1,0.5,61600.
1486469832.88,2.1,0.5,61650.
1486469893.54,2.1,0.5,61600.
1486469954.30,2.1,0.5,61599.
1486470014.97,2.1,0.5,61600.
