1486495267.68,50.1,0.45,0,[1, 0, 0, 0]
1486495270.14,50.1,0.45,0,[1, 0, 0, 0]
1486495272.61,50.1,0.45,0,[1, 0, 0, 0]
1486495275.08,50.1,0.46,0,[1, 0, 0, 0]
1486495277.55,50.1,0.46,0,[1, 0, 0, 0]
1486495280.02,50.1,0.47,0,[1, 0, 0, 0]
1486495282.49,50.1,0.47,0,[1, 0, 0, 0]
1486495284.96,50.1,0.47,0,[1, 0, 0, 0]
1486495287.43,50.1,0.46,0,[1, 0, 0, 0]
1486495289.90,50.1,0.45,0,[1, 0, 0, 0]
1486495292.37,50.1,0.45,0,[1, 0, 0, 0]
1486495294.85,50.1,0.45,0,[1, 0, 0, 0]
1486495297.31,50.1,0.45,0,[1, 0, 0, 0]
1486495299.79,50.1,0.46,0,[1, 0, 0, 0]
1486495302.25,50.1,0.46,0,[1, 0, 0, 0]
1486495304.73,50.1,0.47,0,[1, 0, 0, 0]
1486495307.20,50.1,0.47,0,[1, 0, 0, 0]
1486495309.66,50.1,0.47,0,[1, 0, 0, 0]
1486495312.14,50.1,0.47,0,[1, 0, 0, 0]
1486495314.60,50.1,0.47,0,[1, 0, 0, 0]
1486495317.08,50.1,0.47,0,[1, 0, 0, 0]
1486495319.55,50.1,0.47,0,[1, 0, 0, 0]
1486495322.02,50.1,0.47,0,[1, 0, 0, 0]
1486495324.49,50.1,0.46,0,[1, 0, 0, 0]
1486495326.96,50.1,0.46,0,[1, 0, 0, 0]
1486495328.54,50.1,0.46,0,[1, 0, 0, 0]
1486495331.00,50.1,0.46,0,[1, 0, 0, 0]
