1486530537.72,57.5,0.27,,1
1486530540.32,57.5,0.27,-6749.,1
1486530543.42,57.5,0.28,-6749.,1
1486530546.17,57.5,0.29,-6750.,1
1486530549.14,57.5,0.28,-6750.,1
1486530558.83,57.5,0.27,-6749.,1
1486530561.77,57.5,0.27,-6750.,1
1486530564.77,57.5,0.27,-6750.,1
1486530567.49,57.5,0.26,-6750.,1
1486530570.22,57.5,0.26,-6750.,1
1486530572.94,57.5,0.26,-6749.,1
1486530575.91,57.6,0.26,-6750.,1
1486530578.89,57.5,0.26,-6750.,1
1486530582.12,57.5,0.25,-6750.,1
1486530584.84,57.5,0.25,-6750.,1
1486530591.77,57.5,0.25,-6750.,1
